date,name,startTime,endTime,stage
418,Lady Gaga,11:10:00 PM,12:10:00 AM,0
418,Missy Elliott,9:00:00 PM,9:55:00 PM,0
418,Benson Boone,7:10:00 PM,8:05:00 PM,0
418,MARINA,5:40:00 PM,6:30:00 PM,0
418,Thee Sacred Souls,4:20:00 PM,5:10:00 PM,0
418,Gabe Real,3:00:00 PM,4:00:00 PM,0
418,Parcels,10:10:00 PM,11:10:00 PM,3
418,The Marías,8:20:00 PM,9:20:00 PM,3
418,Tyla,6:45:00 PM,7:30:00 PM,3
418,The Go-Go's,5:25:00 PM,6:15:00 PM,3
418,Seun Kuti & Egypt 80,4:05:00 PM,4:55:00 PM,3
418,Juicewon,2:50:00 PM,3:50:00 PM,3
418,HiTech,10:00:00 PM,11:00:00 PM,5
418,SPEED,8:40:00 PM,9:20:00 PM,5
418,Los Mirlos,7:30:00 PM,8:10:00 PM,5
418,KNEECAP,6:10:00 PM,7:00:00 PM,5
418,julie,5:00:00 PM,5:40:00 PM,5
418,TOPS,3:50:00 PM,4:30:00 PM,5
418,vs self,3:00:00 PM,3:30:00 PM,5
418,Glixen,2:00:00 PM,2:30:00 PM,5
418,Jim Smith,1:00:00 PM,2:00:00 PM,5
418,Indo Warehouse,10:40:00 PM,11:40:00 PM,1
418,CA7RIEL & Paco Amoroso,9:30:00 PM,10:15:00 PM,1
418,Artemas,8:15:00 PM,9:00:00 PM,1
418,A. G. Cook,7:00:00 PM,7:45:00 PM,1
418,d4vd,5:55:00 PM,6:35:00 PM,1
418,4batz,4:45:00 PM,5:25:00 PM,1
418,Maribou State,3:30:00 PM,4:20:00 PM,1
418,PARISI,2:15:00 PM,3:05:00 PM,1
418,Busterkun,1:20:00 PM,2:05:00 PM,1
418,The Prodigy,10:05:00 PM,11:05:00 PM,2
418,Mike Snow,8:35:00 PM,9:25:00 PM,2
418,Eyedress,7:20:00 PM,8:05:00 PM,2
418,Djo,6:05:00 PM,6:50:00 PM,2
418,Lola Young,4:50:00 PM,5:35:00 PM,2
418,SAINt JHN,3:40:00 PM,4:20:00 PM,2
418,Ravyn Lenae,2:35:00 PM,3:15:00 PM,2
418,GINGEE,1:30:00 PM,2:20:00 PM,2
418,Mustard,11:50:00 PM,12:50:00 AM,4
418,GloRilla,10:25:00 PM,11:10:00 PM,4
418,Yeat,9:10:00 PM,9:55:00 PM,4
418,LISA,7:45:00 PM,8:40:00 PM,4
418,Sara Landry,6:10:00 PM,7:05:00 PM,4
418,Three G Mafia,5:15:00 PM,5:55:00 PM,4
418,Chris Lorenzo,4:00:00 PM,5:00:00 PM,4
418,Austin Millz,2:55:00 PM,3:45:00 PM,4
418,Loboman,1:45:00 PM,2:45:00 PM,4
418,Vintage Culture,11:15:00 PM,12:15:00 AM,6
418,Chris Stussy,9:45:00 PM,11:15:00 PM,6
418,Pete Tong b2b Ahmed Spins,8:15:00 PM,9:45:00 PM,6
418,Tinlicker,7:00:00 PM,8:15:00 PM,6
418,Beltran,5:45:00 PM,7:00:00 PM,6
418,Damian Lazarus,4:45:00 PM,5:45:00 PM,6
418,Shermanology,3:45:00 PM,4:45:00 PM,6
418,Moon Boots,2:45:00 PM,3:45:00 PM,6
418,Coco & Breezy,1:45:00 PM,2:45:00 PM,6
418,EREZ,1:00:00 PM,1:45:00 PM,6
418,Testpilot x Zhu,7:00:00 PM,9:00:00 PM,7
418,Rafael x Miluhska,5:00:00 PM,7:00:00 PM,7
419,Travis Scott,12:00:00 AM,1:00:00 AM,0
