date,name,startTime,endTime,stage
422,Harry Styles,11:35:00 PM,12:30:00 AM,0
422,Daniel Caesar,10:10:00 PM,10:55:00 PM,0
422,Lil Baby,8:25:00 PM,9:10:00 PM,0
422,Grupo Firme,7:10:00 PM,8:00:00 PM,0
422,Anitta,6:00:00 PM,6:45:00 PM,0
422,Ari Lennox,4:50:00 PM,5:35:00 PM,0
422,MIKA,3:40:00 PM,4:25:00 PM,0
422,Princess Nokia,2:35:00 PM,3:15:00 PM,0
422,King Gizzard and the Lizard Wizard,12:00:00 AM,1:00:00 AM,3
422,Louis the Child,10:40:00 PM,11:35:00 PM,3
422,Phoebe Bridgers,9:10:00 PM,10:10:00 PM,3
422,Madeon,7:40:00 PM,8:35:00 PM,3
422,NIKI,6:25:00 PM,7:10:00 PM,3
422,Omar Apollo,5:05:00 PM,5:50:00 PM,3
422,Bishop Briggs,4:00:00 PM,4:45:00 PM,3
422,The Hu,2:55:00 PM,3:35:00 PM,3
422,Yimbo,2:00:00 PM,2:30:00 PM,3
422,Ela Minus,10:10:00 PM,10:50:00 PM,5
422,Amyl & the Sniffers,9:00:00 PM,9:40:00 PM,5
422,PUP,7:20:00 PM,8:00:00 PM,5
422,Spiritualized,5:40:00 PM,6:40:00 PM,5
422,The Chats,4:35:00 PM,5:10:00 PM,5
422,Code Orange,3:30:00 PM,4:10:00 PM,5
422,Jean Dawson,2:30:00 PM,3:05:00 PM,5
422,Giselle Woo & the Night Owls,1:40:00 PM,2:10:00 PM,5
422,Jim Smith,12:00:00 PM,1:40:00 PM,5
422,BADBADNOTGOOD,12:05:00 AM,1:00:00 AM,1
422,EPIK HIGH,10:45:00 PM,11:35:00 PM,1
422,The Avalanches,9:25:00 PM,10:15:00 PM,1
422,TokiMonsta,8:10:00 PM,9:00:00 PM,1
422,slowthai,7:00:00 PM,7:45:00 PM,1
422,The Marías,5:50:00 PM,6:35:00 PM,1
422,Role Model,4:35:00 PM,5:20:00 PM,1
422,The Regrettes,3:20:00 PM,4:05:00 PM,1
422,Arooj Aftab,2:15:00 PM,2:55:00 PM,1
422,Torres Martinez,1:45:00 PM,2:00:00 PM,1
422,Lane 8,11:45:00 PM,1:00:00 AM,2
422,Snoh Aalegra,10:35:00 PM,11:20:00 PM,2
422,Pink Sweat$,9:25:00 PM,10:10:00 PM,2
422,IDLES,8:10:00 PM,9:00:00 PM,2
422,Arcade Fire,6:45:00 PM,7:45:00 PM,2
422,Carly Rae Jepsen,5:30:00 PM,6:15:00 PM,2
422,Still Woozy,4:25:00 PM,5:00:00 PM,2
422,Raveena,3:20:00 PM,4:00:00 PM,2
422,Lawrence,2:25:00 PM,2:55:00 PM,2
422,MEUTE,1:20:00 PM,2:00:00 PM,2
422,SLANDER,11:55:00 PM,1:00:00 AM,4
422,Big Sean,10:45:00 PM,11:30:00 PM,4
422,Baby Keem,9:35:00 PM,10:20:00 PM,4
